bank,period,stated_conf,actual_violation_rate,expected_rate,excess_rate,n_violations,n_trading_days
JPM,full_sample,0.9499999999999998,0.09012591119946985,0.05000000000000005,0.040125911199469795,136.0,1509.0
MS,full_sample,0.9499999999999998,0.007952286282306162,0.05000000000000005,-0.04204771371769389,12.0,1509.0
BAC,stress,0.99,0.012779552715654952,0.010000000000000009,0.0027795527156549427,4.0,313.0
C,stress,0.99,0.009584664536741214,0.010000000000000009,-0.0004153354632587952,3.0,313.0
GS,stress,0.9500000000000001,0.006389776357827476,0.050000000000000044,-0.04361022364217257,2.0,313.0
JPM,stress,0.9500000000000001,0.12140575079872204,0.050000000000000044,0.071405750798722,38.0,313.0
MS,stress,0.9500000000000001,0.009584664536741214,0.050000000000000044,-0.04041533546325883,3.0,313.0
BAC,calm,0.99,0.002508361204013378,0.010000000000000009,-0.007491638795986631,3.0,1196.0
C,calm,0.99,0.002508361204013378,0.010000000000000009,-0.007491638795986631,3.0,1196.0
GS,calm,0.9500000000000002,0.004180602006688963,0.050000000000000044,-0.045819397993311084,5.0,1196.0
JPM,calm,0.9500000000000002,0.08193979933110368,0.050000000000000044,0.031939799331103635,98.0,1196.0
MS,calm,0.9500000000000002,0.007525083612040134,0.050000000000000044,-0.04247491638795991,9.0,1196.0
